,p.HS1,p.S1H,p.S1S2,p.HD,rr.S1,rr.S2,c.H,c.S1,c.S2,c.Trt,u.H,u.S1,u.S2,u.Trt,Cost_NoTrt,Cost_Trt,QALY_NoTrt,QALY_Trt,ICER
7484,0.130567438,0.485088415,0.10758554,0.007935777,3.055917549,10.31291976,2282.169653,4013.19176,15368.64236,12513.52696,0.982652381,0.773810707,0.501411043,0.955481432,68158.18699,123334.4802,15.05589309,15.5020235,123677.498
7485,0.161155603,0.485344777,0.114228724,0.005001721,2.960236979,9.778386712,2162.336636,3713.303376,14505.49789,11380.0927,0.994363328,0.726713619,0.48170295,0.948392097,80321.10851,147859.03,15.29635272,15.93862278,105155.0214
7486,0.177456814,0.487993709,0.094719153,0.00401122,2.982287744,10.22829143,1889.625269,4385.046177,15419.19028,8973.347957,0.994791289,0.767147757,0.475286064,0.988229291,83510.28837,140292.544,15.7918941,16.52341657,77622.02524
7487,0.149187771,0.482290516,0.090205794,0.005916155,2.995978093,10.06424205,1901.634877,3635.735835,15504.67395,12093.37327,0.991270437,0.730156719,0.537175553,0.965546299,68835.69582,131204.8389,15.65036879,16.33957135,90494.64868
7488,0.138787643,0.503223684,0.114560918,0.00667913,3.047118679,10.16451036,2110.824285,3618.630975,13954.80003,11488.85291,0.99698932,0.743141777,0.545766829,0.946456681,67579.00889,123202.7102,15.4348406,15.94658348,108694.628
7489,0.14127825,0.503519438,0.107314974,0.004058999,3.025116228,9.829734318,2188.921436,3708.537324,14962.34245,12085.64115,0.994978617,0.724988348,0.48985109,0.991938553,80296.34508,147201.1404,16.10805715,16.83388025,92177.82668
7490,0.196265869,0.519520978,0.108819113,0.003095722,3.005474268,9.948493291,2111.523978,3671.536233,15170.90678,13638.04848,0.996641465,0.753300491,0.488411399,0.955478149,93769.76229,190544.9177,15.77416848,16.44403201,144469.9583
7491,0.141516418,0.497783646,0.107786394,0.00438356,2.96374899,9.851170966,1777.313997,4533.904365,15587.44813,10359.62638,0.984564392,0.730380202,0.575435248,0.921680224,78080.56183,134938.0787,16.09771365,16.6180647,109267.6129
7492,0.153173667,0.508272779,0.095750967,0.004504514,3.013385235,9.954305659,1579.53446,3986.358571,16928.20798,10897.20334,0.99285063,0.755851235,0.510742592,0.957758439,75775.79541,136096.9677,16.07303822,16.66372663,102120.1229
7493,0.144448288,0.522666266,0.114976067,0.005607738,2.9964194,10.04372266,2046.882936,4168.946429,16335.07718,10574.43616,0.996732062,0.725835793,0.504879383,0.916108306,78325.83247,132864.0161,15.58488592,16.07611213,111024.5802
7494,0.126797404,0.469650679,0.09279856,0.006944492,3.048452543,9.91860777,1990.859161,4016.738845,14333.44182,12047.31755,0.985692442,0.744573192,0.536021565,0.944389572,63343.15267,117628.7427,15.59752227,16.11611444,104678.7689
7495,0.104174628,0.502845777,0.101281731,0.003343337,3.046365815,10.05506123,2147.015307,3873.709045,15472.4661,14120.67203,0.996074376,0.726420316,0.506534911,0.948414749,74974.66619,139273.9537,17.12613189,17.63039626,127511.0671
